,year1,tag_name,amount
0,1972,3d printing,0
1,1972,Addiction,0
2,1972,Adventure,0
3,1972,Advertising,0
4,1972,Africa,0
5,1972,Aging,0
6,1972,Agriculture,0
7,1972,AI,0
8,1972,AIDS,0
9,1972,Aircraft,0
10,1972,Algorithm,0
11,1972,Alternative energy,0
12,1972,Alzheimer's,0
13,1972,Ancient world,0
14,1972,Animals,0
15,1972,Animation,0
16,1972,Antarctica,0
17,1972,Anthropocene,0
18,1972,Anthropology,0
19,1972,Ants,0
20,1972,Apes,0
21,1972,Archaeology,0
22,1972,Architecture,0
23,1972,Art,0
24,1972,Arts,0
25,1972,Asia,0
26,1972,Asteroid,0
27,1972,Astrobiology,0
28,1972,Astronomy,0
29,1972,Atheism,0
30,1972,Augmented reality,0
31,1972,Autism,0
32,1972,Autism spectrum disorder,0
33,1972,Bacteria,0
34,1972,Beauty,0
35,1972,Bees,0
36,1972,Behavioral economics,0
37,1972,Best of the Web,0
38,1972,Big bang,0
39,1972,Big problems,0
40,1972,Biodiversity,0
41,1972,Bioethics,0
42,1972,Biology,0
43,1972,Biomechanics,0
44,1972,Biomimicry,0
45,1972,Bionics,0
46,1972,Biosphere,0
47,1972,Biotech,0
48,1972,Birds,0
49,1972,Blindness,0
50,1972,Blockchain,0
51,1972,Body language,0
52,1972,Books,0
53,1972,Botany,0
54,1972,Brain,0
55,1972,Brand,0
56,1972,Brazil,0
57,1972,Buddhism,0
58,1972,Bullying,0
59,1972,Business,0
60,1972,Cancer,0
61,1972,Capitalism,0
62,1972,Cars,0
63,1972,Cello,0
64,1972,Charter for compassion,0
65,1972,Chemistry,0
66,1972,Children,0
67,1972,China,0
68,1972,Choice,0
69,1972,Christianity,0
70,1972,Cities,0
71,1972,Climate change,0
72,1972,Cloud,0
73,1972,Code,0
74,1972,Cognitive science,0
75,1972,Collaboration,0
76,1972,Comedy,0
77,1972,Communication,0
78,1972,Community,0
79,1972,Compassion,0
80,1972,Complexity,0
81,1972,Composing,0
82,1972,Computers,0
83,1972,Conducting,0
84,1972,Consciousness,0
85,1972,Conservation,0
86,1972,Consumerism,0
87,1972,Cooperation,0
88,1972,Coral reefs,0
89,1972,Corruption,0
90,1972,Cosmos,0
91,1972,Creativity,0
92,1972,Crime,0
93,1972,Criminal Justice,0
94,1972,CRISPR,0
95,1972,Crowdsourcing,0
96,1972,Cryptocurrency,0
97,1972,Culture,0
98,1972,Curiosity,0
99,1972,Dance,0
100,1972,Dark matter,0
101,1972,Data,0
102,1972,Death,0
103,1972,Debate,0
104,1972,Decision-making,0
105,1972,Deextinction,0
106,1972,Demo,0
107,1972,Democracy,0
108,1972,Depression,0
109,1972,Design,0
110,1972,Development,0
111,1972,Dinosaurs,0
112,1972,Disability,0
113,1972,Disaster relief,0
114,1972,Discovery,0
115,1972,Disease,0
116,1972,Diversity,0
117,1972,DNA,0
118,1972,Driverless cars,0
119,1972,Drones,0
120,1972,Ebola,0
121,1972,Ecology,0
122,1972,Economics,0
123,1972,Education,0
124,1972,Egypt,0
125,1972,Electricity,0
126,1972,Emotions,0
127,1972,Empathy,0
128,1972,Encryption,0
129,1972,Energy,0
130,1972,Engineering,0
131,1972,Entertainment,0
132,1972,Entrepreneur,0
133,1972,Environment,0
134,1972,Epidemiology,0
135,1972,Europe,0
136,1972,Evil,0
137,1972,Evolution,0
138,1972,Evolutionary psychology,0
139,1972,Exercise,0
140,1972,Exoskeleton,0
141,1972,Exploration,0
142,1972,Extraterrestrial life,0
143,1972,Extreme sports,0
144,1972,Failure,0
145,1972,Faith,0
146,1972,Family,0
147,1972,Farming,0
148,1972,Fashion,0
149,1972,Fear,0
150,1972,Feminism,0
151,1972,Film,0
152,1972,Finance,0
153,1972,Fish,0
154,1972,Flight,0
155,1972,Food,0
156,1972,Foreign Policy,0
157,1972,Forensics,0
158,1972,Friendship,0
159,1972,Fungi,0
160,1972,Funny,0
161,1972,Future,0
162,1972,Gaming,0
163,1972,Garden,0
164,1972,Gender,0
165,1972,Gender equality,0
166,1972,Gender spectrum,0
167,1972,Genetics,0
168,1972,Geology,0
169,1972,Glacier,0
170,1972,Global commons,0
171,1972,Global development,0
172,1972,Global issues,0
173,1972,Goal-setting,0
174,1972,God,0
175,1972,Google,0
176,1972,Government,0
177,1972,Grammar,0
178,1972,Graphic design,0
179,1972,Green,0
180,1972,Guitar,0
181,1972,Guns,0
182,1972,Hack,0
183,1972,Happiness,0
184,1972,Health,0
185,1972,Health care,0
186,1972,Healthcare,0
187,1972,Hearing,0
188,1972,Heart health,0
189,1972,History,0
190,1972,HIV,0
191,1972,Homelessness,0
192,1972,Human body,0
193,1972,Human origins,0
194,1972,Humanity,1
195,1972,Humor,0
196,1972,Identity,0
197,1972,Illness,0
198,1972,Illusion,0
199,1972,Immigration,0
200,1972,Inclusion,0
201,1972,India,0
202,1972,Indigenous peoples,0
203,1972,Industrial design,0
204,1972,Inequality,0
205,1972,Infrastructure,0
206,1972,Innovation,0
207,1972,Insects,0
208,1972,Intelligence,0
209,1972,Interface design,0
210,1972,Internet,0
211,1972,Interview,0
212,1972,Introvert,0
213,1972,Invention,0
214,1972,Investment,0
215,1972,Iran,0
216,1972,Iraq,0
217,1972,Islam,0
218,1972,Jazz,0
219,1972,Journalism,0
220,1972,Justice system,0
221,1972,Language,0
222,1972,Latin America,0
223,1972,Law,0
224,1972,Leadership,0
225,1972,LGBT,0
