"id","year_filmed","views_as_of_06162017","tags"
"1","2006","3177001","cars,alternative energy,culture,politics,science,climate change,environment,sustainability,global issues,technology"
"10","2006","2255796","obesity,disease,health,health care,culture,food,science,global issues"
"1000","2010","604284","neuroscience,biology,brain,science"
"1001","2010","1213301","live music,music,entertainment,performance"
"1002","2010","918958","poverty,education,design"
"1003","2010","304892","iraq,Africa,war,violence,politics,peace"
"1004","2010","1323118","photography,poverty,TEDx,culture,history"
"1005","2010","575768","law,inequality,work,global issues,business,big problems"
"1006","2010","1135976","simplicity,complexity,science,design,TED Fellows"
"1007","2010","1483378","code,math,computers,education,technology"
"1008","2010","1972309","Senses,evolution,brain,culture,design,society,beauty"
"1009","2010","532605","sports,education,motivation,TEDx,personal growth,leadership,children,storytelling"
"101","2005","394144","cello,music,vocals,entertainment,performance"
"1010","2010","943702","education,culture,green,design"
"1011","2010","346130","mission blue,law,oceans,politics,science,global issues"
"1012","2010","449274","health,medicine,brain,TEDx,children"
"1013","2010","498618","iraq,drones,war,politics,women,global issues"
"1014","2010","4808736","TEDx,culture,work,design,creativity,technology,business"
"1015","2010","1082559","TEDx,architecture,cities,green,design,creativity,technology"
"1016","2010","2132725","health,TEDx,food,environment,sustainability,green,agriculture,business"
"1017","2010","1782025","TEDx,culture,war,politics,global issues"
"1018","2010","1378801","insects,health,food,environment,agriculture"
"1019","2010","530058","smell,Africa,TEDx,war,animals,technology"
"102","2003","2610882","TED Brain Trust,consciousness,illusion,self,visualizations,brain,culture,entertainment"
"1020","2010","827994","culture,food,cities,sustainability,entertainment,global issues,business"
"103","2003","4083053","live music,music,entertainment,performance,creativity"
"1030","2010","582042","feminism,politics,women,women in business,business"
"1031","2010","2186331","yesallwomen,feminism,men,culture,bullying,women,global issues"
"1032","2010","822884","crime,education,india,culture,politics,social change,global issues"
"1033","2010","839827","feminism,economics,education,culture,women,global issues"
"1034","2010","1825061","education,TEDx,culture,children"
"1036","2010","2088572","sex,web,education,culture,children,entertainment,communication"
"1037","2010","1106883","consumerism,TEDx,culture,cities,technology,business,collaboration,communication"
"1038","2008","1823344","TED Brain Trust,money,disease,economics,education,medicine,psychology,history,children,business"
"1039","2010","843549","photography,Africa,film,environment,animals,global issues"
"104","2005","1388378","china,culture,architecture,cities,environment,sustainability,design,global issues,technology,business"
"1040","2010","7176818","goal-setting,feminism,education,leadership,women,women in business,technology,business"
"1041","2010","618945","economics,TEDx,cities,green,business,community"
"1042","2010","29931236","depression,mental health,psychology,self,TEDx,culture,fear,social change,communication"
"1043","2010","927293","happiness,philosophy,self,culture,global issues"
"1044","2010","4138414","productivity,culture,entertainment,business"
"1045","2010","1813921","TEDx,culture,religion,global issues,journalism"
"1046","2010","1220262","brain,TEDx,music,science,entertainment,creativity,technology"
"1047","2010","881794","cancer,medicine,science,technology,business"
"1048","2010","2815895","love,happiness,books,psychology,TEDx,personal growth,life,writing"
"1049","2010","645329","nuclear weapons,activism,humanity,global issues,peace"
"105","2003","714574","TED Brain Trust,invention,web,United States,innovation,history,entrepreneur,technology,business"
"1050","2010","1444417","anthropology,cyborg,computers,culture,future,technology"
"1051","2010","1290151","design,entertainment,technology"
"1052","2010","1182996","politics,global issues,communication"
"1053","2010","929925","gaming,education,psychology,TEDx,bullying,violence,children,technology"
"1054","2010","892318","economics,culture,activism,social change,science,business"
"1055","2010","516030","health care,medicine,music,science,technology"
"1056","2010","449323","plastic,poverty,TEDx,inequality,science,green,global issues,business,communication"
"1057","2010","460205","virtual reality,health,medicine,visualizations,TEDx,science,technology,data"
"1058","2010","747066","robots,AI,comedy,science,entertainment,humor,technology"
"1059","2010","2279834","Asia,china,economics,culture,global issues,business"
"1060","2010","489636","health,medicine,science,design,technology,business"
"1061","2010","1285573","feminism,culture,media,comedy,women,humor,art,peace"
"1062","2010","459704","cancer,culture,storytelling,community"
"1064","2010","312482","biology,architecture,cities,design"
"1065","2011","715187","drones,hack,computers,media,innovation,curiosity,cities,design,technology,collaboration"
"1066","2010","1249166","advertising,social media,culture,media,entertainment"
"1067","2010","2390532","sports,health,TEDx,science,entertainment,journalism"
"1068","2010","585228","poetry,culture,war,women,performance,global issues"
"1069","2010","3731811","work-life balance,motivation,TEDx,culture,work,life,business"
"1070","2010","1054646","robots,body language,AI,design,entertainment,technology,business,communication"
"1071","2010","343143","health,medicine,politics,science,women,global issues,community"
"1072","2010","1716104","biomimicry,science and art,architecture,sustainability,design"
"1073","2010","1730075","live music,TEDx,music,entertainment,performance"
"1074","2010","678771","charter for compassion,faith,compassion,religion,science"
"1075","2010","2437304","brain,TEDx,language,science,children,technology"
"1076","2010","840172","economics,investment,culture,women in business,global issues"
"1077","2011","704713","technology,business"
"1078","2010","720291","Foreign Policy,iraq,business"
"1079","2010","869492","economics,culture,choice,business"
"108","2006","638502","spoken word,memory,poetry,entertainment,performance,storytelling"
"1080","2010","617138","Surgery,body language,medical research,science and art,culture,science,design,community"
"1081","2010","433741","anthropology,storytelling"
"1082","2010","415380","TED Brain Trust,cancer,genetics,medical research"
"1083","2010","736692","live music,music,entertainment,performance"
"1084","2011","914790","iraq,protests,media,politics,global issues,technology,Egypt,Middle East"
"1085","2011","2592305","TED Prize,photography,activism,art,community"
"1086","2011","901859","protests,politics,social change,democracy,global issues,Egypt"
