,year,tag_name,views,related topic1,view of topic1,related topic2,view of topic2,related topic3,view of topic3
0,1972,3d printing,0,Youth,0,Finance,0,Exploration,0
1,1972,Addiction,0,Youth,0,Finance,0,Exploration,0
2,1972,Adventure,0,Youth,0,Finance,0,Exploration,0
3,1972,Advertising,0,Youth,0,Finance,0,Exploration,0
4,1972,Africa,0,Youth,0,Finance,0,Exploration,0
5,1972,Aging,0,Youth,0,Finance,0,Exploration,0
6,1972,Agriculture,0,Youth,0,Finance,0,Exploration,0
7,1972,AI,0,Youth,0,Finance,0,Exploration,0
8,1972,AIDS,0,Youth,0,Finance,0,Exploration,0
9,1972,Aircraft,0,Youth,0,Finance,0,Exploration,0
10,1972,Algorithm,0,Youth,0,Finance,0,Exploration,0
11,1972,Alternative energy,0,Youth,0,Finance,0,Exploration,0
12,1972,Alzheimer's,0,Youth,0,Finance,0,Exploration,0
13,1972,Ancient world,0,Youth,0,Finance,0,Exploration,0
14,1972,Animals,0,Youth,0,Finance,0,Exploration,0
15,1972,Animation,0,Youth,0,Finance,0,Exploration,0
16,1972,Antarctica,0,Youth,0,Finance,0,Exploration,0
17,1972,Anthropocene,0,Youth,0,Finance,0,Exploration,0
18,1972,Anthropology,0,Youth,0,Finance,0,Exploration,0
19,1972,Ants,0,Youth,0,Finance,0,Exploration,0
20,1972,Apes,0,Youth,0,Finance,0,Exploration,0
21,1972,Archaeology,0,Youth,0,Finance,0,Exploration,0
22,1972,Architecture,0,Youth,0,Finance,0,Exploration,0
23,1972,Art,0,Youth,0,Finance,0,Exploration,0
24,1972,Arts,0,Youth,0,Finance,0,Exploration,0
25,1972,Asia,0,Youth,0,Finance,0,Exploration,0
26,1972,Asteroid,0,Youth,0,Finance,0,Exploration,0
27,1972,Astrobiology,0,Youth,0,Finance,0,Exploration,0
28,1972,Astronomy,0,Youth,0,Finance,0,Exploration,0
29,1972,Atheism,0,Youth,0,Finance,0,Exploration,0
30,1972,Augmented reality,0,Youth,0,Finance,0,Exploration,0
31,1972,Autism,0,Youth,0,Finance,0,Exploration,0
32,1972,Autism spectrum disorder,0,Youth,0,Finance,0,Exploration,0
33,1972,Bacteria,0,Youth,0,Finance,0,Exploration,0
34,1972,Beauty,0,Youth,0,Finance,0,Exploration,0
35,1972,Bees,0,Youth,0,Finance,0,Exploration,0
36,1972,Behavioral economics,0,Youth,0,Finance,0,Exploration,0
37,1972,Best of the Web,0,Youth,0,Finance,0,Exploration,0
38,1972,Big bang,0,Youth,0,Finance,0,Exploration,0
39,1972,Big problems,0,Youth,0,Finance,0,Exploration,0
40,1972,Biodiversity,0,Youth,0,Finance,0,Exploration,0
41,1972,Bioethics,0,Youth,0,Finance,0,Exploration,0
42,1972,Biology,0,Youth,0,Finance,0,Exploration,0
43,1972,Biomechanics,0,Youth,0,Finance,0,Exploration,0
44,1972,Biomimicry,0,Youth,0,Finance,0,Exploration,0
45,1972,Bionics,0,Youth,0,Finance,0,Exploration,0
46,1972,Biosphere,0,Youth,0,Finance,0,Exploration,0
47,1972,Biotech,0,Youth,0,Finance,0,Exploration,0
48,1972,Birds,0,Youth,0,Finance,0,Exploration,0
49,1972,Blindness,0,Youth,0,Finance,0,Exploration,0
50,1972,Blockchain,0,Youth,0,Finance,0,Exploration,0
51,1972,Body language,0,Youth,0,Finance,0,Exploration,0
52,1972,Books,0,Youth,0,Finance,0,Exploration,0
53,1972,Botany,0,Youth,0,Finance,0,Exploration,0
54,1972,Brain,0,Youth,0,Finance,0,Exploration,0
55,1972,Brand,0,Youth,0,Finance,0,Exploration,0
56,1972,Brazil,0,Youth,0,Finance,0,Exploration,0
57,1972,Buddhism,0,Youth,0,Finance,0,Exploration,0
58,1972,Bullying,0,Youth,0,Finance,0,Exploration,0
59,1972,Business,0,Youth,0,Finance,0,Exploration,0
60,1972,Cancer,0,Youth,0,Finance,0,Exploration,0
61,1972,Capitalism,0,Youth,0,Finance,0,Exploration,0
62,1972,Cars,0,Youth,0,Finance,0,Exploration,0
63,1972,Cello,0,Youth,0,Finance,0,Exploration,0
64,1972,Charter for compassion,0,Youth,0,Finance,0,Exploration,0
65,1972,Chemistry,0,Youth,0,Finance,0,Exploration,0
